"EMPRESA,STAND",Status,Nome 1,Linkedin 1,Nome 2,Linkedin 2
"LABINBRAZ,B-192  / Weiner",,Cesar Masini,https://www.linkedin.com/in/cesar-masini/,,
"MEDPEJ,F-50",,Vivian Rocha,https://www.linkedin.com/in/vivian-rocha-26b9bb279/,,
"HARTMANN,K-08",,,,,
"CIVIAM BRASIL,C-69",,,,,
"CARDINAL,D-49",,,,,
"KONICA MINOLTA HEALTHCARE DO BRASIL,F-41",,Daniel Martins,https://www.linkedin.com/in/danielncmartins/,,
"Controller Comércio,G-121",,,,,
"SC MEDICAL,E-60",,Tadeu Ferado,https://www.linkedin.com/in/tadeu-feraso-858667149/,,
"Suzuki,G-41",,,,,
"MÓVEIS ANDRADE,A-50",,,,,
"ECOMED COMÉRCIO DE PRODUTOS MÉDICOS LTDA,B-69",,Derek Flint,https://www.linkedin.com/in/derek-flinte-6687841a/,,
"POLYMED,B-149",,,,,
"MINDRAY,D-11",,,,,
"ESTERELIZA,C-151",,,,,
"Ford Brasil,K-20",,,,,
"LAYOUT MÓVEIS,G-88",,,,,
"TKL BRASIL,C-149",,Gustavo Schultz,https://www.linkedin.com/in/gustavo-g-schultz-bb82ba40/,,
"LEISTUNG,G-18",,,,,
"M2LIFE,D-178",,,,,
"LAERDAL MEDICAL,D-120",,,,,
"DRÄGER DO BRASIL,G-11",,,,,
"ARJO,F-128",,,,,
"SEBRAE MG,H-141",,,,,
"ORTHO PAUHER,E-120",,,,,
"Prolab,H-200",,,,,
"DIVINO HOSPITALAR,G-104",,,,,
"GIGANTE PRODUTOS MÉDICOS,B-46",,,,,
"HANDLE,A-70",,,,,
"Intermed,B-09",,,,,
"SALUTEM HOSPITALARES,J-30",,,,,
"HEALTH INDÚSTRIA,A-88",,,,,
"MUCAMBO,E-205",,,,,
"Strattner,F-29",,,,,
"ECO DIAGNÓSTICA,D-144",,,,,
"HEALTH CLEAN,F-119",,,,,
"C-CORE INDÚSTRIA,G-58",,,,,
"FORTEC,SEM STAND",,,,,
"Stryker,G-31",,,,,
"AGFA DO BRASIL,I-28",,,,,
"Tec Mobile,A-113",,,,,
"NIHON KOHDEN,E-48",,,,,
"KLINGO,B-112",,,,,
"GETINGE,E-21",,,,,
"BARRFAB,G-39",,,,,
"MACOM,E-171",,,,,
"BHIO SUPPLY,C-51",,,,,
"BIO ENGENHARIA,J-40g",,,,,
"SANTALMAS,D-79",,,,,
"LINET,D-41",,,,,
"Unitec Hospitalar,C-44",,,,,
"VENTCARE,A-58",,,,,
"Via Medical,C-185",,,,,
